Abrev. ;PDI;IDV;MAS;UAI;CDI;LTO;INDU
AFE;64;27;41;52;25;32;40
AFW;77;20;46;54;16;9;78
ARA;80;38;52;68;;23;34
ARG;49;46;56;86;;20;62
AUS;38;90;61;51;31;21;71
AUT;11;55;79;70;;60;63
BGD;80;20;55;60;;47;20
BEL;65;75;54;94;;82;57
BEF;67;72;60;93;;;
BEN;61;78;43;97;;;
BRA;69;38;49;76;65;44;59
BTN;94;52;32;28;;;
BUL;70;30;40;85;;69;16
CAN;39;80;52;48;23;36;68
CAF;54;73;45;60;;;
CHL;63;23;28;86;;31;68
CHI;80;17;58;35;114;87;24
COL;67;13;64;80;;13;83
COS;35;15;21;86;;;
CRO;73;33;40;80;;58;33
CZE;57;58;57;74;;70;29
DEN;18;74;16;23;;35;70
DO;65;30;65;45;;;
ECA;78;8;63;67;;;
SAL;66;19;40;94;;20;89
EGY;70;25;45;80;30;;
EST;40;60;30;60;;82;16
FJI;78;14;46;48;;;
FIN;33;63;26;59;;38;57
FRA;68;71;43;86;;63;48
GER;35;67;66;65;31;83;40
GBR;35;89;66;35;25;51;69
GRE;60;35;57;112;;45;50
GUA;95;6;37;101;;;
HOK;68;25;57;29;96;61;17
HUN;;;83;82;;58;31
IND;77;48;56;40;61;51;26
IDO;78;14;46;48;;62;38
IRA;58;41;43;59;;14;40
IRE;28;70;68;35;;24;65
ISR;13;54;47;81;;38;
ITA;50;76;70;75;;61;30
JAM;45;39;68;13;;;
JPN;54;46;95;92;80;88;42
KEN;70;;;;;;
KOR;60;18;39;85;75;100;29
LAT;44;70;9;63;;69;13
LIT;42;60;19;65;;82;16
LUX;40;60;50;70;;64;56
MAL;104;26;50;36;;41;57
MWI;70;30;40;50;;;
MLT;56;59;47;96;;47;66
MEX;81;30;69;82;;24;97
MAR;70;46;53;68;;14;25
NAM;65;30;40;45;35;;
NPL;65;30;40;40;;;
NLD;38;80;14;53;44;67;68
NZL;22;79;58;49;30;33;75
NOR;31;69;8;50;;35;55
PAK;55;14;50;70;;50;0
PAN;95;11;44;86;;;
PER;64;16;42;87;;25;46
PHI;94;32;64;44;19;27;42
POL;68;60;64;93;;38;29
POR;63;27;31;104;;28;33
ROM;90;30;42;90;;52;20
RUS;94;43;38;85;;81;20
SAU;95;25;60;80;;;
SER;86;25;43;92;;52;28
SGP;74;20;48;8;48;72;46
LKA;70;40;10;45;45;;
SVK;104;52;110;51;;77;28
SLV;71;27;19;88;;49;48
SAW;49;65;63;49;;;
SPA;57;51;42;86;;48;44
SUR;83;47;36;86;;;
SWE;31;71;5;29;33;53;78
SWI;34;68;70;58;;74;66
TAI;58;17;45;69;87;93;49
THA;64;20;34;64;56;32;45
TRI;47;16;58;55;;13;80
TUR;66;37;45;85;;46;49
USA;40;91;62;46;29;26;68
URU;61;36;38;100;;26;53
VEN;81;12;73;76;;16;100
VIE;70;20;40;30;;57;35